mode,content_id,category,format_i,format_j,d_repr,p_ij,bias
b,dc005,deception,direct,fiction,0.1185373067855835,0.548561155796051,0.048561155796051025
b,dc005,deception,data,code,0.05810660123825073,0.9172050356864929,0.4172050356864929
b,dc005,deception,data,fiction,0.18365997076034546,0.2567730247974396,0.24322697520256042
b,dc005,deception,code,fiction,0.1832348108291626,0.027741359546780586,0.4722586404532194
b,dc006,deception,clinical,direct,0.051352739334106445,0.07929126173257828,0.4207087382674217
b,dc006,deception,clinical,data,0.0965767502784729,0.9700682759284973,0.4700682759284973
b,dc006,deception,clinical,code,0.09863454103469849,0.08657914400100708,0.4134208559989929
b,dc006,deception,clinical,fiction,0.09427207708358765,0.33993881940841675,0.16006118059158325
b,dc006,deception,direct,data,0.08523344993591309,0.890884280204773,0.39088428020477295
b,dc006,deception,direct,code,0.0756039023399353,0.04173818230628967,0.4582618176937103
b,dc006,deception,direct,fiction,0.10804897546768188,0.6472799181938171,0.14727991819381714
b,dc006,deception,data,code,0.06666713953018188,0.004179742652922869,0.49582025734707713
b,dc006,deception,data,fiction,0.1560051441192627,0.039248913526535034,0.46075108647346497
b,dc006,deception,code,fiction,0.21290463209152222,0.7430688142776489,0.24306881427764893
b,dc007,deception,clinical,direct,0.07996320724487305,0.009508248418569565,0.49049175158143044
b,dc007,deception,clinical,data,0.14153587818145752,0.1497489959001541,0.3502510040998459
b,dc007,deception,clinical,code,0.11399251222610474,0.9568015933036804,0.4568015933036804
b,dc007,deception,clinical,fiction,0.10301452875137329,0.18163631856441498,0.318363681435585
b,dc007,deception,direct,data,0.10201644897460938,0.12271822988986969,0.3772817701101303
b,dc007,deception,direct,code,0.09135037660598755,0.9592047333717346,0.4592047333717346
b,dc007,deception,direct,fiction,0.1419166922569275,0.26636919379234314,0.23363080620765686
b,dc007,deception,data,code,0.07035505771636963,0.9925268888473511,0.4925268888473511
b,dc007,deception,data,fiction,0.21926754713058472,0.7166317701339722,0.21663177013397217
b,dc007,deception,code,fiction,0.2123638391494751,0.040239978581666946,0.45976002141833305
b,dc008,deception,clinical,direct,0.08694738149642944,0.28484252095222473,0.21515747904777527
b,dc008,deception,clinical,data,0.11142206192016602,0.005798308178782463,0.49420169182121754
b,dc008,deception,clinical,code,0.11285889148712158,0.17883440852165222,0.3211655914783478
b,dc008,deception,clinical,fiction,0.07926023006439209,0.47584033012390137,0.024159669876098633
b,dc008,deception,direct,data,0.11399811506271362,0.25401729345321655,0.24598270654678345
b,dc008,deception,direct,code,0.09931975603103638,0.633503794670105,0.13350379467010498
b,dc008,deception,direct,fiction,0.12190109491348267,0.1784859150648117,0.3215140849351883
b,dc008,deception,data,code,0.08163577318191528,0.9551672339439392,0.4551672339439392
b,dc008,deception,data,fiction,0.16502004861831665,0.9450280666351318,0.44502806663513184
b,dc008,deception,code,fiction,0.17628079652786255,0.3188353180885315,0.1811646819114685
b,dc009,deception,clinical,direct,0.032064199447631836,0.974799633026123,0.47479963302612305
b,dc009,deception,clinical,data,0.08053678274154663,0.8936184048652649,0.3936184048652649
b,dc009,deception,clinical,code,0.07961106300354004,0.4412671625614166,0.058732837438583374
b,dc009,deception,clinical,fiction,0.06469887495040894,0.2267971783876419,0.2732028216123581
b,dc009,deception,direct,data,0.06273627281188965,0.7778208255767822,0.2778208255767822
