model,node_n,gen_words,gen_finish
superdrew100_llama3-abliterated_latest,3,61,stop
superdrew100_llama3-abliterated_latest,4,84,stop
superdrew100_llama3-abliterated_latest,5,60,stop
superdrew100_llama3-abliterated_latest,6,82,stop
superdrew100_llama3-abliterated_latest,7,48,stop
superdrew100_llama3-abliterated_latest,8,51,stop
superdrew100_llama3-abliterated_latest,9,69,stop
yi_9b,1,50,stop
yi_9b,10,70,stop
yi_9b,11,46,stop
yi_9b,12,39,stop
yi_9b,13,31,stop
yi_9b,14,59,stop
yi_9b,2,44,stop
yi_9b,3,32,stop
yi_9b,4,27,stop
yi_9b,5,19,stop
yi_9b,6,38,stop
yi_9b,7,24,stop
yi_9b,8,59,stop
yi_9b,9,39,stop
