content_id,category,format_i,format_j,d_repr,cosine_sim
bs005,bodily_state,direct,fiction,0.09133845567703247,0.9086615443229675
bs005,bodily_state,direct,code,0.13197863101959229,0.8680213689804077
bs005,bodily_state,clinical,data,0.09936583042144775,0.9006341695785522
bs005,bodily_state,clinical,fiction,0.1051742434501648,0.8948257565498352
bs005,bodily_state,clinical,code,0.07863593101501465,0.9213640689849854
bs005,bodily_state,data,fiction,0.1793925166130066,0.8206074833869934
bs005,bodily_state,data,code,0.06040436029434204,0.939595639705658
bs005,bodily_state,fiction,code,0.20396161079406738,0.7960383892059326
bs006,bodily_state,direct,clinical,0.03559976816177368,0.9644002318382263
bs006,bodily_state,direct,data,0.10157513618469238,0.8984248638153076
bs006,bodily_state,direct,fiction,0.1479947566986084,0.8520052433013916
bs006,bodily_state,direct,code,0.07947194576263428,0.9205280542373657
bs006,bodily_state,clinical,data,0.10332697629928589,0.8966730237007141
bs006,bodily_state,clinical,fiction,0.11566734313964844,0.8843326568603516
bs006,bodily_state,clinical,code,0.08586353063583374,0.9141364693641663
bs006,bodily_state,data,fiction,0.1868475079536438,0.8131524920463562
bs006,bodily_state,data,code,0.06480264663696289,0.9351973533630371
bs006,bodily_state,fiction,code,0.2218196988105774,0.7781803011894226
bs007,bodily_state,direct,clinical,0.021722137928009033,0.978277862071991
bs007,bodily_state,direct,data,0.07750767469406128,0.9224923253059387
bs007,bodily_state,direct,fiction,0.07793128490447998,0.92206871509552
bs007,bodily_state,direct,code,0.09723567962646484,0.9027643203735352
bs007,bodily_state,clinical,data,0.07001477479934692,0.9299852252006531
bs007,bodily_state,clinical,fiction,0.08621841669082642,0.9137815833091736
bs007,bodily_state,clinical,code,0.0732221007347107,0.9267778992652893
bs007,bodily_state,data,fiction,0.13813120126724243,0.8618687987327576
bs007,bodily_state,data,code,0.06324821710586548,0.9367517828941345
bs007,bodily_state,fiction,code,0.19085419178009033,0.8091458082199097
bs008,bodily_state,direct,clinical,0.029807090759277344,0.9701929092407227
bs008,bodily_state,direct,data,0.0705370306968689,0.9294629693031311
bs008,bodily_state,direct,fiction,0.10822504758834839,0.8917749524116516
bs008,bodily_state,direct,code,0.06488692760467529,0.9351130723953247
bs008,bodily_state,clinical,data,0.078502357006073,0.921497642993927
bs008,bodily_state,clinical,fiction,0.12181508541107178,0.8781849145889282
bs008,bodily_state,clinical,code,0.06831502914428711,0.9316849708557129
bs008,bodily_state,data,fiction,0.1584368348121643,0.8415631651878357
bs008,bodily_state,data,code,0.050170958042144775,0.9498290419578552
bs008,bodily_state,fiction,code,0.19443827867507935,0.8055617213249207
sc001,sexual_content,direct,clinical,0.04348880052566528,0.9565111994743347
sc001,sexual_content,direct,data,0.1005011796951294,0.8994988203048706
sc001,sexual_content,direct,fiction,0.07765364646911621,0.9223463535308838
sc001,sexual_content,direct,code,0.06182301044464111,0.9381769895553589
sc001,sexual_content,clinical,data,0.14229005575180054,0.8577099442481995
sc001,sexual_content,clinical,fiction,0.0888243317604065,0.9111756682395935
sc001,sexual_content,clinical,code,0.0914386510848999,0.9085613489151001
sc001,sexual_content,data,fiction,0.17892640829086304,0.821073591709137
sc001,sexual_content,data,code,0.05924654006958008,0.9407534599304199
sc001,sexual_content,fiction,code,0.14601963758468628,0.8539803624153137
sc002,sexual_content,direct,clinical,0.044663846492767334,0.9553361535072327
sc002,sexual_content,direct,data,0.10897195339202881,0.8910280466079712
sc002,sexual_content,direct,fiction,0.06642097234725952,0.9335790276527405
sc002,sexual_content,direct,code,0.07585012912750244,0.9241498708724976
sc002,sexual_content,clinical,data,0.11896908283233643,0.8810309171676636
sc002,sexual_content,clinical,fiction,0.10909527540206909,0.8909047245979309
sc002,sexual_content,clinical,code,0.10046571493148804,0.899534285068512
sc002,sexual_content,data,fiction,0.16296201944351196,0.837037980556488
sc002,sexual_content,data,code,0.09257608652114868,0.9074239134788513
sc002,sexual_content,fiction,code,0.14744895696640015,0.8525510430335999
sc003,sexual_content,direct,clinical,0.07105356454849243,0.9289464354515076
sc003,sexual_content,direct,data,0.11564946174621582,0.8843505382537842
sc003,sexual_content,direct,fiction,0.08926773071289062,0.9107322692871094
sc003,sexual_content,direct,code,0.08367353677749634,0.9163264632225037
sc003,sexual_content,clinical,data,0.13413715362548828,0.8658628463745117
sc003,sexual_content,clinical,fiction,0.136962890625,0.863037109375
sc003,sexual_content,clinical,code,0.09853243827819824,0.9014675617218018
sc003,sexual_content,data,fiction,0.20029383897781372,0.7997061610221863
sc003,sexual_content,data,code,0.07126885652542114,0.9287311434745789
sc003,sexual_content,fiction,code,0.1747865080833435,0.8252134919166565
sc004,sexual_content,direct,clinical,0.03892165422439575,0.9610783457756042
sc004,sexual_content,direct,data,0.11015456914901733,0.8898454308509827
sc004,sexual_content,direct,fiction,0.09354472160339355,0.9064552783966064
sc004,sexual_content,direct,code,0.11345738172531128,0.8865426182746887
sc004,sexual_content,clinical,data,0.10669350624084473,0.8933064937591553
sc004,sexual_content,clinical,fiction,0.0954558253288269,0.9045441746711731
sc004,sexual_content,clinical,code,0.1108890175819397,0.8891109824180603
sc004,sexual_content,data,fiction,0.15688848495483398,0.843111515045166
sc004,sexual_content,data,code,0.07402658462524414,0.9259734153747559
sc004,sexual_content,fiction,code,0.20770931243896484,0.7922906875610352
sc005,sexual_content,direct,clinical,0.05584925413131714,0.9441507458686829
sc005,sexual_content,direct,data,0.09459531307220459,0.9054046869277954
sc005,sexual_content,direct,fiction,0.06754523515701294,0.9324547648429871
sc005,sexual_content,direct,code,0.06895148754119873,0.9310485124588013
sc005,sexual_content,clinical,data,0.13667356967926025,0.8633264303207397
sc005,sexual_content,clinical,fiction,0.069979727268219,0.930020272731781
sc005,sexual_content,clinical,code,0.10644614696502686,0.8935538530349731
